id,booking_id,student_id,joined_at
3969621b-58f5-437d-acfd-7c730b28ddb2,bg111111-1111-1111-1111-111111111111,s7777777-7777-7777-7777-777777777771,2025-01-08T00:00:00Z
446785cf-7cb4-457e-b78d-7ea43fb06d0e,bg111111-1111-1111-1111-111111111111,s7777777-7777-7777-7777-777777777774,2025-01-09T00:00:00Z
c065169e-c3b6-4abd-8c98-167ca4cf7df9,bg111111-1111-1111-1111-111111111111,s7777777-7777-7777-7777-777777777775,2025-01-10T00:00:00Z
0228d7b4-7101-49ab-bbac-1c7cdffa77db,bg222222-2222-2222-2222-222222222221,s7777777-7777-7777-7777-777777777772,2025-01-09T00:00:00Z
11e93b08-9cbd-4ccf-9136-ec980abe89e1,bg222222-2222-2222-2222-222222222221,s8888888-8888-8888-8888-888888888881,2025-01-10T00:00:00Z
33cf08a4-90a2-4e9d-944f-cecf04cfdb93,bg222222-2222-2222-2222-222222222221,s8888888-8888-8888-8888-888888888882,2025-01-10T00:00:00Z
20ea89a6-7164-4d7a-9e65-76e5869fba5c,bg222222-2222-2222-2222-222222222221,s8888888-8888-8888-8888-888888888883,2025-01-11T00:00:00Z
a2df8c7e-7f9f-450b-91b1-e39a30ad6157,bg222222-2222-2222-2222-222222222221,s8888888-8888-8888-8888-888888888884,2025-01-12T00:00:00Z
1d21acb8-fe74-4707-9493-5e6e13ec2be1,bg333333-3333-3333-3333-333333333331,s7777777-7777-7777-7777-777777777773,2025-01-10T00:00:00Z
00691e6e-f9f3-4e4b-8e11-c959f41d3388,bg333333-3333-3333-3333-333333333331,s8888888-8888-8888-8888-888888888885,2025-01-11T00:00:00Z
2e67a7f2-b0b9-4de1-a0ef-41dd4f303887,bg333333-3333-3333-3333-333333333331,s9999999-9999-9999-9999-999999999991,2025-01-11T00:00:00Z
adc460d1-c927-4b63-908b-ee488a752d2d,bg333333-3333-3333-3333-333333333331,s9999999-9999-9999-9999-999999999992,2025-01-12T00:00:00Z
1d124a7b-16fa-41da-a6d3-04183a1ad8a3,bg333333-3333-3333-3333-333333333331,s9999999-9999-9999-9999-999999999993,2025-01-12T00:00:00Z
c65cc2b8-cec1-4d0f-9e18-0f91ec821782,bg333333-3333-3333-3333-333333333331,s9999999-9999-9999-9999-999999999994,2025-01-13T00:00:00Z
