id,student_id,consultant_id,interaction_type,service_type,rating,session_id,created_at
3f553c43-158f-48a2-a9d4-c1a96025959a,37bc130e-32cb-40e4-aadc-9e00d7687e83,,view,test_prep,,sess_000,2025-05-30T18:45:02.697032Z
d31a9df9-6fcb-42ba-a66d-61c32da73de2,736857c4-9f42-4159-b34d-0c85fd6ec0ac,7cefd294-6775-497d-a13a-373eea813373,view,essay_review,,sess_000,2025-05-30T18:45:02.697043Z
e523ef79-9692-4c96-b6e5-24eb86d7415b,61537514-f80b-4518-85bf-31e72ada6a6f,639b801b-e0cd-4231-9139-0eda9cb7e39a,view,,,sess_000,2025-05-31T18:45:02.697052Z
5d72b847-0a5f-4a12-a8b1-7346477cb068,475278e1-36b4-4cbb-b900-5657ecf46f27,f287b0f4-6204-40ae-9272-592af357cc80,view,,5,sess_000,2025-05-31T18:45:02.697059Z
2598d658-451d-4017-8a25-1bed151a1da5,6e43de78-2f65-4b32-8f23-8f98f50b34b0,1684c912-8fc3-4d46-862a-c5e9177530a4,view,,5,sess_000,2025-06-01T18:45:02.697066Z
c0ed8efc-3926-4008-b1c4-b75200399032,91d8da1f-05be-461e-ba74-e069c2bacc7e,,view,essay_review,,sess_005,2025-06-01T18:45:02.697073Z
08d19a5c-86d1-457a-8a30-28e6f2ff02ea,b128e10a-c802-45f4-acf3-e2286bbcf318,ffd289d6-f731-49ef-980c-8f7cd8798f37,view,,,sess_000,2025-06-02T18:45:02.697080Z
484a959f-09af-445e-a8f8-0d8018e42049,610f1e96-dbf8-4983-89de-1ae22327effa,592147d1-1492-4d53-b4c7-09bfbb684c02,view,,4,sess_000,2025-06-02T18:45:02.697087Z
2e6b650a-00df-4e93-a5f6-99c07cfab76a,9e55bf6f-4bee-43e0-8f55-bc90b1086c7c,751de371-730d-4bd3-9e89-620b5d68d490,view,,4,sess_000,2025-06-03T18:45:02.697093Z
55412375-d508-4990-9763-01bec544c412,e7901c2b-91ce-4931-a039-09861108ecc0,f1ca40f8-cb70-440e-b7d3-685fa42c5c1e,view,,5,sess_000,2025-06-03T18:45:02.697100Z
