id,student_id,consultant_id,service_id,base_price,price_tier,rush_multiplier,discount_code,discount_amount,final_price,prompt_text,essay_text,requirements_text,google_doc_link,uploaded_files,is_rush,promised_delivery_at,delivered_at,deliverables,scheduled_at,calendly_event_url,meeting_link,status,completed_at,cancelled_at,cancelled_by,cancellation_reason,credits_earned,rating,review_text,reviewed_at,is_group_session,max_participants,current_participants,refund_requested,refund_reason,refund_status,refund_amount,refunded_at,metadata,created_at,updated_at
98a605e1-9173-4622-ab2c-69ebe88ae631,37bc130e-32cb-40e4-aadc-9e00d7687e83,a948a7a6-7535-45c1-95dc-6ebb8fa72b34,90d9fc8a-7013-4592-ab14-ea2fe82c18c5,85,,1,,,85,Booking request for service,,,,{},false,2025-06-06T18:45:02.695754Z,2025-06-05T18:45:02.695754Z,{},,,,completed,2025-06-06T18:45:02.695754Z,,,,1.7,5,Great experience working with this consultant!,2025-06-07T06:45:02.695754Z,false,1,1,false,,,,,{},2025-06-04T18:45:02.695754Z,2025-06-04T18:45:02.695754Z
a4f4275b-4dc5-4645-b27a-bd9545bffb9d,736857c4-9f42-4159-b34d-0c85fd6ec0ac,7cefd294-6775-497d-a13a-373eea813373,6b259dcf-c7e3-4119-9a5e-cb90f734cf58,75,,1.5,,,112.5,Booking request for service,,,,{},true,2025-06-07T18:45:02.695781Z,2025-06-06T18:45:02.695781Z,{},,,,completed,2025-06-07T18:45:02.695781Z,,,,2.25,5,Transformed my application completely!,2025-06-08T06:45:02.695781Z,false,1,1,false,,,,,{},2025-06-05T18:45:02.695781Z,2025-06-05T18:45:02.695781Z
1defecd1-c29f-495b-9a56-d49ac59a61dd,61537514-f80b-4518-85bf-31e72ada6a6f,639b801b-e0cd-4231-9139-0eda9cb7e39a,b4c7b9c0-046f-401b-8a61-9ef43ca28ed1,60,,1,,,60,Booking request for service,,,,{},false,2025-06-08T18:45:02.695798Z,2025-06-07T18:45:02.695798Z,{},,,,completed,2025-06-08T18:45:02.695798Z,,,,1.2,5,Excellent feedback and very helpful.,2025-06-09T06:45:02.695798Z,false,1,1,false,,,,,{},2025-06-06T18:45:02.695798Z,2025-06-06T18:45:02.695798Z
e5ba70ef-dff7-46b5-af69-3e06cff5e451,475278e1-36b4-4cbb-b900-5657ecf46f27,f287b0f4-6204-40ae-9272-592af357cc80,304dc9b9-d39b-4e27-81c9-9ce10ccf0ab1,120,,1,,,120,Booking request for service,,,,{},false,2025-06-09T18:45:02.695813Z,2025-06-08T18:45:02.695813Z,{},,,,completed,2025-06-09T18:45:02.695813Z,,,,2.4,5,Great experience working with this consultant!,2025-06-10T06:45:02.695813Z,false,1,1,false,,,,,{},2025-06-07T18:45:02.695813Z,2025-06-07T18:45:02.695813Z
d9b838f0-93ea-4b82-a33b-e16fe11fecf5,6e43de78-2f65-4b32-8f23-8f98f50b34b0,1684c912-8fc3-4d46-862a-c5e9177530a4,72b2cb6e-1de2-4522-ad20-cb52ec965971,120,,1,,,120,Booking request for service,,,,{},false,2025-06-10T18:45:02.695827Z,2025-06-09T18:45:02.695827Z,{},,,,completed,2025-06-10T18:45:02.695827Z,,,,2.4,5,Transformed my application completely!,2025-06-11T06:45:02.695827Z,false,1,1,false,,,,,{},2025-06-08T18:45:02.695827Z,2025-06-08T18:45:02.695827Z
d6f5c1ef-35bf-41d2-93bf-9c2b0a6c9431,91d8da1f-05be-461e-ba74-e069c2bacc7e,dfca436c-036a-4194-9b00-a821dd6591a4,175c4497-9f25-464c-b274-f0dea6c12c20,85,,1,,,85,Booking request for service,,,,{},false,2025-06-11T18:45:02.695840Z,2025-06-10T18:45:02.695840Z,{},,,,completed,2025-06-11T18:45:02.695840Z,,,,1.7,5,Excellent feedback and very helpful.,2025-06-12T06:45:02.695840Z,false,1,1,false,,,,,{},2025-06-09T18:45:02.695840Z,2025-06-09T18:45:02.695840Z
6c46f2b5-a80a-42f2-bd6d-81e2611b3d8f,b128e10a-c802-45f4-acf3-e2286bbcf318,ffd289d6-f731-49ef-980c-8f7cd8798f37,0492c5d1-7d54-4912-bcb0-6f6b44bedd8e,95,,1,,,95,Booking request for service,,,,{},false,2025-06-12T18:45:02.695852Z,2025-06-11T18:45:02.695852Z,{},,,,completed,2025-06-12T18:45:02.695852Z,,,,1.9000000000000001,5,Worth every penny. Highly recommend!,2025-06-13T06:45:02.695852Z,false,1,1,false,,,,,{},2025-06-10T18:45:02.695852Z,2025-06-10T18:45:02.695852Z
080dfd6c-f5e9-43e8-8cf1-fbc6ab866023,610f1e96-dbf8-4983-89de-1ae22327effa,592147d1-1492-4d53-b4c7-09bfbb684c02,e833fdef-82f4-43e3-af95-c45437ce7493,45,,1,,,45,Booking request for service,,,,{},false,2025-06-13T18:45:02.695865Z,2025-06-12T18:45:02.695865Z,{},,,,completed,2025-06-13T18:45:02.695865Z,,,,0.9,5,Great experience working with this consultant!,2025-06-14T06:45:02.695865Z,false,1,1,false,,,,,{},2025-06-11T18:45:02.695865Z,2025-06-11T18:45:02.695865Z
b4fab577-2888-4385-8afa-cb3337f67485,9e55bf6f-4bee-43e0-8f55-bc90b1086c7c,751de371-730d-4bd3-9e89-620b5d68d490,9764ee24-cc2e-4f84-a233-421b4247eddd,120,,1,,,120,Booking request for service,,,,{},false,2025-06-14T18:45:02.695878Z,2025-06-13T18:45:02.695878Z,{},,,,completed,2025-06-14T18:45:02.695878Z,,,,2.4,5,Excellent feedback and very helpful.,2025-06-15T06:45:02.695878Z,false,1,1,false,,,,,{},2025-06-12T18:45:02.695878Z,2025-06-12T18:45:02.695878Z
ba6aa323-9f81-494a-bb50-ecb9d240a503,e7901c2b-91ce-4931-a039-09861108ecc0,f1ca40f8-cb70-440e-b7d3-685fa42c5c1e,f4835bae-52cd-4ba6-9a3f-7e2fd5de5ade,45,,1,,,45,Booking request for service,,,,{},false,2025-06-15T18:45:02.695890Z,2025-06-14T18:45:02.695890Z,{},,,,completed,2025-06-15T18:45:02.695890Z,,,,0.9,5,Excellent feedback and very helpful.,2025-06-16T06:45:02.695890Z,false,1,1,false,,,,,{},2025-06-13T18:45:02.695890Z,2025-06-13T18:45:02.695890Z
c690ee61-cbad-4ea8-a13c-3c9e37b6797b,37bc130e-32cb-40e4-aadc-9e00d7687e83,de41442f-3642-4392-bf01-1e8bbec2f50a,4475d337-e61c-4d6e-96ea-19fe98c1a6be,75,,1,,,75,Booking request for service,,,,{},false,2025-06-16T18:45:02.695903Z,2025-06-15T18:45:02.695903Z,{},,,,completed,2025-06-16T18:45:02.695903Z,,,,1.5,5,Transformed my application completely!,2025-06-17T06:45:02.695903Z,false,1,1,false,,,,,{},2025-06-14T18:45:02.695903Z,2025-06-14T18:45:02.695903Z
ac6644a1-dd26-42ed-b83d-9d72a139591c,736857c4-9f42-4159-b34d-0c85fd6ec0ac,f3189645-f5b7-46ec-858e-45334978f713,9613d823-0e65-443e-b1bb-9e22529009ca,60,,1,,,60,Booking request for service,,,,{},false,2025-06-17T18:45:02.695915Z,2025-06-16T18:45:02.695915Z,{},,,,completed,2025-06-17T18:45:02.695915Z,,,,1.2,4,Great experience working with this consultant!,2025-06-18T06:45:02.695915Z,false,1,1,false,,,,,{},2025-06-15T18:45:02.695915Z,2025-06-15T18:45:02.695915Z
4eb15dbc-80fc-42c0-a6f3-8568d748be5f,61537514-f80b-4518-85bf-31e72ada6a6f,c2ccddbe-8d8b-48af-ac98-a7e300af7cb8,ef81d6d2-ab06-4d51-938d-0b9dd06a446f,75,,1,,,75,Booking request for service,,,,{},false,2025-06-18T18:45:02.695928Z,2025-06-17T18:45:02.695928Z,{},,,,completed,2025-06-18T18:45:02.695928Z,,,,1.5,5,Excellent feedback and very helpful.,2025-06-19T06:45:02.695928Z,false,1,1,false,,,,,{},2025-06-16T18:45:02.695928Z,2025-06-16T18:45:02.695928Z
30780f43-9061-4002-b9d1-a5b9acdae893,475278e1-36b4-4cbb-b900-5657ecf46f27,cf427c87-f260-49fb-9ced-d62cd6f78318,52495201-724e-4242-8bfb-38d0995490f7,75,,1,,,75,Booking request for service,,,,{},false,2025-06-19T18:45:02.695940Z,2025-06-18T18:45:02.695940Z,{},,,,completed,2025-06-19T18:45:02.695940Z,,,,1.5,5,Excellent feedback and very helpful.,2025-06-20T06:45:02.695940Z,false,1,1,false,,,,,{},2025-06-17T18:45:02.695940Z,2025-06-17T18:45:02.695940Z
924736a3-596e-4499-92ad-2d818e653a0c,6e43de78-2f65-4b32-8f23-8f98f50b34b0,6e4ebdab-dad2-47ed-80b0-a444583756d5,58262303-27ea-4b62-bac0-1d9a5fd53a0c,45,,1,,,45,Booking request for service,,,,{},false,2025-06-20T18:45:02.695959Z,2025-06-19T18:45:02.695959Z,{},,,,completed,2025-06-20T18:45:02.695959Z,,,,0.9,4,Great experience working with this consultant!,2025-06-21T06:45:02.695959Z,false,1,1,false,,,,,{},2025-06-18T18:45:02.695959Z,2025-06-18T18:45:02.695959Z
72991623-5555-4128-83d6-f315d0a1f8c1,91d8da1f-05be-461e-ba74-e069c2bacc7e,a948a7a6-7535-45c1-95dc-6ebb8fa72b34,90d9fc8a-7013-4592-ab14-ea2fe82c18c5,85,,1,,,85,Booking request for service,,,,{},false,2025-06-21T18:45:02.695972Z,2025-06-20T18:45:02.695972Z,{},,,,completed,2025-06-21T18:45:02.695972Z,,,,1.7,5,Worth every penny. Highly recommend!,2025-06-22T06:45:02.695972Z,false,1,1,false,,,,,{},2025-06-19T18:45:02.695972Z,2025-06-19T18:45:02.695972Z
7a8ed63a-e25d-472a-b39b-2fec01ff6aca,b128e10a-c802-45f4-acf3-e2286bbcf318,7cefd294-6775-497d-a13a-373eea813373,6b259dcf-c7e3-4119-9a5e-cb90f734cf58,60,,1,,,60,Booking request for service,,,,{},false,2025-06-22T18:45:02.695984Z,2025-06-21T18:45:02.695984Z,{},,,,completed,2025-06-22T18:45:02.695984Z,,,,1.2,5,Excellent feedback and very helpful.,2025-06-23T06:45:02.695984Z,false,1,1,false,,,,,{},2025-06-20T18:45:02.695984Z,2025-06-20T18:45:02.695984Z
2efb4ec3-721b-41f3-b677-0d7681da52f3,610f1e96-dbf8-4983-89de-1ae22327effa,639b801b-e0cd-4231-9139-0eda9cb7e39a,b4c7b9c0-046f-401b-8a61-9ef43ca28ed1,60,,1,,,60,Booking request for service,,,,{},false,2025-06-23T18:45:02.695996Z,2025-06-22T18:45:02.695996Z,{},,,,completed,2025-06-23T18:45:02.695996Z,,,,1.2,4,Excellent feedback and very helpful.,2025-06-24T06:45:02.695996Z,false,1,1,false,,,,,{},2025-06-21T18:45:02.695996Z,2025-06-21T18:45:02.695996Z
8d6ebbca-a4fc-47d9-84bf-3aeea0f997cc,9e55bf6f-4bee-43e0-8f55-bc90b1086c7c,f287b0f4-6204-40ae-9272-592af357cc80,304dc9b9-d39b-4e27-81c9-9ce10ccf0ab1,85,,1,,,85,Booking request for service,,,,{},false,2025-06-24T18:45:02.696008Z,2025-06-23T18:45:02.696008Z,{},,,,completed,2025-06-24T18:45:02.696008Z,,,,1.7,5,Excellent feedback and very helpful.,2025-06-25T06:45:02.696008Z,false,1,1,false,,,,,{},2025-06-22T18:45:02.696008Z,2025-06-22T18:45:02.696008Z
f39858d3-c197-477d-91f3-4d917d0b074a,e7901c2b-91ce-4931-a039-09861108ecc0,1684c912-8fc3-4d46-862a-c5e9177530a4,72b2cb6e-1de2-4522-ad20-cb52ec965971,45,,1,,,45,Booking request for service,,,,{},false,2025-06-25T18:45:02.696020Z,2025-06-24T18:45:02.696020Z,{},,,,completed,2025-06-25T18:45:02.696020Z,,,,0.9,5,Worth every penny. Highly recommend!,2025-06-26T06:45:02.696020Z,false,1,1,false,,,,,{},2025-06-23T18:45:02.696020Z,2025-06-23T18:45:02.696020Z
